turn_id,user_id,message,timestamp,ground_truth,v1_classified,v2_classified,v1_correct,v2_exact_correct,v2_semantic_correct,memories_found,has_prediction,pred_intent,pred_weight,latency_ms,has_error
0,user_pm,주간 보고 작성해야 하는데 지난주 핵심 이슈 뭐였지?,2026-03-23T09:00:00,weekly_report,weekly_report,buffering,1,0,0,0,0,,,2985,0
1,user_pm,이슈 중에 결제 쪽은 해결됐어?,2026-03-23T09:05:00,issue_tracking,issue_tracking,buffering,1,0,0,2,0,,,1831,0
2,user_pm,이번 주 일정 정리해줘,2026-03-23T09:10:00,scheduling,scheduling,buffering,1,0,0,3,0,,,1512,0
3,user_pm,오늘 스탠드업 내용 정리해줘,2026-03-24T09:00:00,project_status,project_status,buffering,1,0,0,4,0,,,1256,0
4,user_pm,블로커 없다니 다행이다 ㅋㅋ,2026-03-24T09:05:00,,knowledge_lookup,buffering,0,0,0,5,0,,,1191,0
5,user_pm,디자인 리뷰 미팅 준비해야 하는데 변경사항 정리해줘,2026-03-25T14:00:00,meeting_prep,scheduling,buffering,0,0,0,5,1,project_status,1.0,1508,0
6,user_pm,피드백 내용 문서로 정리해줘,2026-03-25T15:00:00,document_drafting,knowledge_lookup,buffering,0,0,0,5,1,scheduling,1.0,1099,0
7,user_pm,이번 주 스프린트 회고할 건데 데이터 좀 뽑아줘,2026-03-27T16:00:00,data_analysis,data_analysis,buffering,1,0,0,5,0,,,1441,0
8,user_pm,회고 문서 작성해줘,2026-03-27T16:05:00,document_drafting,document_drafting,buffering,1,0,0,5,0,,,1064,0
9,user_pm,다음 주 계획도 같이 정리해,2026-03-27T16:10:00,scheduling,knowledge_lookup,buffering,0,0,0,5,0,,,1400,0
10,user_pm,백로그 우선순위 정리해줘,2026-03-26T14:00:00,issue_tracking,issue_tracking,buffering,1,0,0,5,1,scheduling,1.0,1413,0
11,user_pm,결제 버그 담당 누구지?,2026-03-26T14:05:00,team_communication,issue_tracking,buffering,0,0,0,5,0,,,1421,0
12,user_pm,주간 보고 작성해야 하는데 지난주 핵심 이슈 뭐였지?,2026-03-30T09:00:00,weekly_report,weekly_report,buffering,1,0,0,5,1,issue_tracking,1.0,1862,0
13,user_pm,이슈 중에 결제 쪽은 해결됐어?,2026-03-30T09:05:00,issue_tracking,issue_tracking,buffering,1,0,0,5,0,,,1411,0
14,user_pm,이번 주 일정 정리해줘,2026-03-30T09:10:00,scheduling,scheduling,buffering,1,0,0,5,0,,,1295,0
15,user_pm,넵 확인,2026-03-30T09:20:00,,knowledge_lookup,buffering,0,0,0,5,0,,,1111,0
